"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 05 07:32:34 GMT 2022","Wed Oct 05 07:32:34 GMT 2022","613","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with foobar and barfoo","When I login with foobar and barfoo",""
"passed","Wed Oct 05 07:32:37 GMT 2022","Wed Oct 05 07:32:37 GMT 2022","112","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying Your username is invalid!","Then I should see a flash message saying Your username is invalid!",""
"passed","Wed Oct 05 07:32:32 GMT 2022","Wed Oct 05 07:32:33 GMT 2022","858","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with tomsmith and SuperSecretPassword!","When I login with tomsmith and SuperSecretPassword!",""
"passed","Wed Oct 05 07:32:34 GMT 2022","Wed Oct 05 07:32:34 GMT 2022","134","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying Your username is invalid!","Then I should see a flash message saying Your username is invalid!",""
"passed","Wed Oct 05 07:32:35 GMT 2022","Wed Oct 05 07:32:36 GMT 2022","156","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying You logged into a secure area!","Then I should see a flash message saying You logged into a secure area!",""
"passed","Wed Oct 05 07:32:35 GMT 2022","Wed Oct 05 07:32:35 GMT 2022","651","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with tomsmith and SuperSecretPassword!","When I login with tomsmith and SuperSecretPassword!",""
"passed","Wed Oct 05 07:32:34 GMT 2022","Wed Oct 05 07:32:34 GMT 2022","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","",""
"passed","Wed Oct 05 07:32:33 GMT 2022","Wed Oct 05 07:32:33 GMT 2022","267","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying You logged into a secure area!","Then I should see a flash message saying You logged into a secure area!",""
"passed","Wed Oct 05 07:32:36 GMT 2022","Wed Oct 05 07:32:36 GMT 2022","305","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Given I am on the login page","Given I am on the login page",""
"passed","Wed Oct 05 07:32:37 GMT 2022","Wed Oct 05 07:32:37 GMT 2022","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","",""
"passed","Wed Oct 05 07:32:33 GMT 2022","Wed Oct 05 07:32:34 GMT 2022","237","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Given I am on the login page","Given I am on the login page",""
"passed","Wed Oct 05 07:32:36 GMT 2022","Wed Oct 05 07:32:37 GMT 2022","580","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with foobar and barfoo","When I login with foobar and barfoo",""
